Pro/Con,Rating,Suggestion,Student Rating
Doing less work because we need a break. So our mind can freshen up for sometime,4,1,
A away I can improve the class is by giving use more free time and the class.,4,1,
A suggestion that I have for the classroom is to have more time to finish assignments.,4,1,
no i have no suggestion sfsfssfsfsfsfsfsfssfsfsfsfsfsfsffsfsfsfsfsfsfssfsfsfsfsfsf,4,1,
A suggestion i could make for this class is to have more informational movies,4,1,
focus and listen to instructions and don't distract other people's focus only yourself.,4,1,
i don't know,4,0,
We could make people who don't stay focused go out of the class or go with ms.pooner,4,1,
"idk, ddddddddddddddddd.dddddddddddddddddddddddddddddd.dddddddddddddddddddddddddddddd",4,0,
I suggest we have student FOCUS AND STOP TALKING when the teacher is talking.,4,0,
I don't know.Something blah blah.Sksksk .nddihvd8scsiha8c9cjihuacbjche.uchwq,4,0,
To do more fun stuff and stuff that kids would want to do instead of noredink,4,1,
i'm going to work on doing all my work and try harder,4,1,
Not the best not the wrost jfiunsiudcnsincunvnvodnovnmodsvmwomvcoiwmdocmdwom,4,0,
"If students disturb Mr. Piper when he talks to the whole class, then he could try to talk louder if he can or tell them to be quiet, but if they continue to talk, then Mt. Piper could send them to go outside for a while or to go to the independent seats on the back of the room.",4,1,
we can be nice to each other and be respectful to each other and everyone,4,1,
i don't know.................................................................,4,0,
"one mic, pay attention, listen, stay in your seat, use permission to get up",4,1,
I don't know how to make our class even better because our class is okay and doesn't need improvement,4,1,
the thing that is good at this class is that we listen to the teachers instruction. the bad thing about this class is that we sometimes don't listen to the teacher.to make this class better is idk.,4,,
They distract a lot when you try to teach and some people don't like that. The good thing is they are focused some times.,4,0,
"I gave this class a 3 because it's like every class I've been recently. It's also not bad or good, because this class teaches lessons I need to know.",4,0,
Because it's in the middle and maybe more focus . sssssssssssssssssssssssssssssssssssssssssssssssssss,4,0,
I gave it a 4 because I just think this class is OK I don't hate it. Also I think that it is a class that I have a hard time paying attention in.,4,0,
I gave the class this because they were not doing that good but a bit good,4,0,
The class is good because it is safe and the class is bad because it is hard.,4,0,
because they been trying their best on the DBQ essay. Also because sometimes they are not listening and not doing what their are suppose to do.,4,0,
.....................................................................................NOPE,4,0,
.................................................................................no,4,0,
"I enjoy what I'm learning, but I dislike how many of my classmates don't want to learn.",4,0,
I gave a 3 which i think is (Neutral) it's not good but its not bad. It can improve but right now i don't think it's the best or worst.,4,0,
I gave this a class a score of 3 because I'm not really good at language arts history and I am better at math and science.,4,0,
"Something great about the class is that i learned a lot about this class about how to write DBQs and companion books. something not good about the class is that some penalties for students that are not doing good could include the whole class being punished including those who are paying attention and doing their work, there is also a problem about NEWSELA that the timer is too short and the articles are too long to read in under 10 minutes (to be accurate,9 minutes because mr. piper starts the timer before students get in the class or 7 or less minutes because of technical difficulties with the computer's wifi connection.)",4,1,
I gave the class a 3 because it's not bad nor good it's an okay class. I don't really know what to grade it.,4,0,
This class can be way better but sum students get bored. This class is pretty fun.,4,0,
Because it's true i have no more comments.Because it's true i have no more comments,4,0,
More fun games and get a.c. or more music...................................,4,1,
The class was very off task this week but it doesn't really bother me. That is why I scored it a 3,4,0,
"it just sucks all the time, except when you show videos, Love videos and memes",4,1,
( ͡° ͜ʖ ͡°) I guess it's okay,4,0,
̿̿ ̿̿ ̿̿ ̿̿ ̿̿ ̿'̿'\̵͇̿̿\з= ( ▀ ͜͞ʖ▀) =ε/̵͇̿̿/'̿'̿ ̿ ̿̿ ̿̿ ̿̿ ▄︻̷̿┻̿═━一,4,0,
it's better------------------------------------------------------------------------,4,0,
i gave it that score because i think the class is good but can do better. i,4,0,
it is all right and everyone is fun and i am okay with them and happy my grades,4,0,
"I got an A because I have been doing my work, making my work up, and doing my best on each one. This class is great because you can turn in stuff with out no deduction. This class is really bad with group works in my opinion, so that needs to improve.",4,1,
because it is a okay score i think a 4 is good it is not to high of a score,4,0,
Because we always wait for everyone to be quiet and good thing is u we get free time,4,0,
i gave this because i have been doing better.ssssssssssssssssssssssssssssssssss,4,0,
something good in this class because helps people and something better is making a little fun.,4,0,
"He's super nice, and helps us on projects just enough so we can understand what's going on, and still do projects on our own.",4,0,
During class I can learn.,4,0,
I gave this score because I have great friends in this class but I also have some people that I don't like that much. I also gave this score because Mr. Lieberman is a funny and awesome teacher.,4,0,
"I like Mr. Liberman's teaching style, and the classmates can focus when they need to.",4,0,
"It has it's pro's and con's, but i can't really describe why.",4,0,
"No homework, but lots of note taking",4,0,
"I really like the class and it is always fun, even though I don't completely love history",4,0,
I enjoy this class because it's fun and my teachers funny.,4,0,
this class is good because i adore history and writing books about books that i love.,5,0,
"It's the liberloot for going to places, and i would make it a 5 if he gave us more time or give us a vote to know how long you can extend it.",5,1,
Because Mr. Lieberman is awesome and really enthusiastic. I think less notes would make the class better and more videos.,5,0,
I think that when it is direct instruction and the teacher blows the harmonica,3,1,
less group meeting in class so we can do work instead of listening for like a hour,,1,
Less Talking and Less Moving around the class ( THIS IS ALL SPACEBAR ),,1,
"1 mic, dont talk alot lffffnpofnqpppenjdkfnoienofnfon[feofkjlrniut9iormgffnd",,,
We are super funny in class..................................................................,,,
I suggest more freetime for the classroom so we can rest and play and let all our energy out.,,,
"I think this class doesn't mean anything to improve, for the last month......",,,
They talk when the teacher is talking they we need to improve on that. When the substitute is here they are really loud.,,,
We should learn history through watching educational movies and we should do less webquest.,,,
The way we can improve this class for the last month is to have less work. The reason for that is because we have been working hard for the whole year.,,,
"be more mature and responsible. Meaning, pick up your trash, do your work, be quiet when someone has the one mic, and be respectful.",,,
YOU HAVE TO PLAY A LOT OF NBA 2K19 AND MAKE A STRETCH FOUR I GOT A 92 OVERALL.,,,
This class should stay on task and focus and not get distracted by others.,,,
being quiet eyes and ears on the teacher. Also not moving around to much and sitting somewhere without permission.,,,
I think I am doing pretty great because i did all my work but you didn't grade it.,,,
we could listen more and pay attention more and do our work and we should take more notes,,,
NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\,,,
no it don't need to improve our class maybe we could sit where we want uwegnwueivhw,,,
The class could be better and it could improve...............................,,,
This class is getting irritating but it isn't that horrible...........................................,,,
i have no suggestions for this class. there is nothing to suggest and there is nothing wrong.,,,
"I don't know. Blah blah blah. Sksksksk.I got the horses in the back, what is matte black got the boots black to match hhh riding on my horse.",,,
Be more strict idndjdusbsjsihshshdbxjixubdbfkdixydbdkxixhbdjxhdhdjdixhdbjdudbdk,,,
We should have less off task talking. Also listen more to the teacher. Do our work also.,,,
Don't let people sit with their friends unless they can control themselves from talking with their friends.,,,
I score the class 3 because its not the best class,,,
"idk, we can improve more freetime and less newsela. that's all. that's all. s",,,
stop keeping us in and tell us how this is going to help us ............................................................................................................................................,,,
Maybe there could be more detentions or phones could be taken away as punishment?,,,
i don't know maybe for the students that dont listen and do there work they should just sit out of class or go to the office,,,
linden and yelling ......................................................................,,,
"To improve the class is to be calm. Also, to provide more fun activities. For the class to improve is to just follow the rules.",,,
"i don't know .j98 edc7 ushn.kudj ,u80 lk,mn efw09po;.dwis-09po;/lmp'9efi=fr-=] p;rg32",,,
last month was really bad bad but these days alot good improvements and nice kids,,,
I suggest to continue what this class is doing. I also suggest that we start reading again because it's quiet and peaceful.,,,
It's not a bad class or the best. I rate this class a 3.,,,
I DON'T KNOW.......................................................................,,,
"This class has a lot of great learning points, but the behavior of the students are really depressing.",,,
It's not great but its not good. djfnidjfncodbcubacuyebaucybaeoucbfyeaobvuebavu,,,
I don't know. I just don't really like the class. Blah blah blah blah blah Lol,,,
Nothing is really bad in our class. I think our class is pretty good right now.,,,
I gave it a three because the class doesn't move forward sometimes. We are always stuck somewhere when the class is crazy.,,,
"BECAUSE NOOBS ARE SCARED SUB TO PEWDIEPIE AND KRAAZY 420 on YOUTUBE DON""T FORGET THE NAMES GUYZ",,,
A lot of people keep talking and they are the same students over and over again,,,
i don't know......................................................................,,,
idk the class is just ok i guess some ppl are still distracting tbh and annoying,,,
"I gave the class a 3 because it's not really good, we could do some different work that is fun instead of doing the same stuff over and over.",,,
"Its both good and bad because some people don't pay attention. Also, they don't do one mic.",,,
idk. It can improve by fixing the wifi and make kids nicer. hihihihihihihihihi,,,
because it's true.because it's true.because its true.because it's true.because its true.,,,
I choose the number 3 because its in the middle. It's not bad or the best.,,,
I gave this score because this class is getting better at doing work in the class.,,,
The Reason why I gave that score is because the class is a normal class with a normal amount of good things and bad things. Something that could make the class better is if the everyone in the class could do their work and if all the students don't have flaws in their behavior.,,,
because it's fun and boring and it code be more funnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,
i'm starting to like the vid mr piper gives off to me his super nice and i really starting to like the vibe everyone is putting,,,
i would rate this class the best class ever because it is funny and fun and more!,,,
because i don't like school and i don't like this class because we stay in for to long,,,
i gave it that score because i think they could do better and they don't because they want us to stay in.,,,
Because this class is neutral sometimes good sometimes boring and i wish people stop playing around,,,
i give this score because i think 5 period should not clean the class\ the mess 2 and 3 period made.,,,
because it gets better each week and plus if students are doing their work then maybe they don't have to worry about the teachers being mean or they don't have to worry about what teacher comes up to their desk if they are doing what they need to do,,,
Because we are a great doing class but we need to talk less off task. Our class could really talk less in class.,,,
I gave this class a 4 because it is ok I don't hate the class and I find some of the topics in social studies interesting.,,,
More kahoot SFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSF,,,
It is okay because we all pay attention to get free time and that's why we listen.,,,
something good about this class is that they pay attention to the teacher. Something bad about this class is that we don't pay attention sometimes.,,,
The good thing about this class is that they do their work. The bad thing is They talk over the teacher.,,,
3 because we talk to much but we do good work if we want to also the class is easy,,,
I gave it this score cause this class is annoying and making us stay in for lunch.,,,
because i feel like we are a good class we still need to improve.on paying attention,,,
it good class just it has trouble focusing and they don't pay attention .,,,
I gave it this because the have long d and straight hairline also they did .,,,
it's good because it's a good score to score this class nmjo ftiu rdftghui ouh,,,
I gave the class that score because it is fun but boring and it will get better I hope.,,,
Its good but it could be better.(diwjeiejhbibjreijibtrtjhbrohtjorghj6ohjotpnjtrnjop),,,
"It's a good class things have changed for the better, but also there's things that need to be changed. Like I said last time this class would be better if students don't waste that much time. The good thing about this class is it's actually fun here.",,,
the class isn't that bad and it's also not that good. People are always making us wait and that's really annoying.,,,
i gave this score because our class works on the work we are assigned too but the class doesn't become quiet fast.,,,
I would give the class a 4 out of 5 because this class is good but it still needs some improvement.,,,
I still Have to turn in a lot of work. But I did turn most of the stuff though you just haven't got to it.,,,
i gave it this score because sometimes this class could be loud. dmkjhhusfdhu,,,
because we try to focus a lot and we try and finish our work early even though we can get distracted by things we still try and finish our work .,,,
All the laughs and the roasting it is kinda annoying but we make it threw the period but its fine and i'm writing this cuz it says for me to write a full sentence and i did it sooooooo byeeeeee.,,,
Because it sucks,,,
Something good about this class is that they do their work and they try their best. What's bad is that they talk to much. If this class focus more to the teacher.,,,
cause we don't get enough time to finish and i cant focus at home. and we always do different things everyday,,,
"This class could be better when we do more free time, and maybe that's it....",,,
because there is so much talking but then there is quiet time and maybe how this class can be better is no time of quiet time.,,,
is getting better. I started to like the class more 999999999999999999999999999999,,,
"I don't think I did good i think I did OK, but I also think I have things missing on my DBQ.",,,
The good is they get quiet the bad thing is they talk over the teacher and it takes a long time to make them quiet,,,
something that is good about this class is that they pay attention to the teacher. something bad about this class is that we waste our time for waiting. and I don't know how to make this class better.,,,
2 because it's boring.SFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSF,,,
In the middle because we always talk every time in every class in your class,,,
2 because it's boring. SFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSFSF,,,
nothing because this class is wrong because we don't have free time every day lololololol,,,
"Its a 3 because the class gets annoying and boring , and we stay in for lunch.",,,
they are okay and nothing is wrong and they could take it seriously,,,
I gave the class this grade because they are pretty good and they don't listen when teacher is talking.,,,
idk be i don't really care tbh but yea just say some random person's name or something like that,,,
the class needs to focus on their work. turn in their work and read more. and do their writing,,,
"This class can be fun and I learn I a lot don't get me wrong. It's just that it's the same thing everyday such as newsela everyday, which can be very boring. At least do kahoot every Monday just to start the week nicely.",,,
it's a good class and things get done but sometimes the students don't do what they are supposed,,,
one thing good about this class is some of the students do their work.,,,
"It's not bad or good, it's like every other class. It is because this class wouldn't be my favorite class.",,,
That you stop yelling at us an be a better teacher not to be rude and grade my missing work,,,
It is 2 because because i need to catch up on companion book. And on other work.,,,
in feel like it is a okay score think the mini lesson are good about this class,,,
because this class is ok but we need more free time to relax and do best we can .,,,
Because it keeps talkingssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,,,
Because we always wait for everyone and sometimes get free time so it's 2 stars,,,
The reason I think this because this class is very good but it could be better.,,,
I gave the class that score because it is interesting and boring at the same time.,,,
I gave this score bc when i did the African geography thing i submit it but that's when i did something and i thought was something not going to effects it but it did.,,,
The bad thing is they talk over the teacher the good thing is we still get work done.,,,
The class is good but it could be better.(civdjvj kbjibjfi jijijdvnbvcbfghgfrfv) don't mind that.,,,
Because sometimes its good sometimes it's bad well i wish it's always good and quiet,,,
"it's fun for learning, i think it can improve. The kids are sometime rude. I",,,
To much people keep on talking and they play around to much and they are the same people that play around too much,,,
because it is okay and plus it don't really matter how the students act it's about getting your knowledge that you need and that you came to school for,,,
I don't like this class and everything will make this class better. JHbhDSchfihbwdihvwiv,,,
It's not good but its not bad. And it can improve on so many things like people talking ect.,,,
I gave this score because i think this class is in the middle (3). It is not bad neither the best,,,
All classes are the same so it doesn't matter if I like the class or not. I give this class a 3 because its average.,,,
because this class can be more fun . ufeubebwvibviudbsjbxiubwuibevijbijdbvbwiub,,,
Because the class is boring. And you have favorites. bah blah blah.Im only wri,,,
The class is both bad and good because some students has good and bad attitudes. But the class could be better if everyone listens and does work.,,,
i gave the class a 4 because people are doing a great job this week and they listening to the teacher.,,,
i give this score because i absolutely adore history and everything about it,,,
Because it's true.Because it's true.Because its true.Because it's true.Because its true.Because it's true.,,,
mr piper doesn't even have control of his own class and the class doesn't even listen to him,,,
i dont know whats good in class but it's fun minimum is funnnnnnnnnnnnnnnnnn,,,
i gave the class a grade because we do not listen.lj hooker;97;ihuw diy qi;oLx,,,
The reason why I gave this class a 5/5 score is because I learned a lot about it and I got good grades.,,,
I gave that score to the class Because the class isn't that good . And most students are very crazy and don't listen as much,,,
It can be more quiet and i can focus more and stay in class . And try to be more respectful to my peers,,,
