Timestamp,How would you score the class ,Explain why you gave that score? (What is good about the class? What is bad about the class? What could make the class better?),"Polarity (-1, 0, 1)",Suggestions (0 or 1),Suggestions,Flag (0 1),Flag Data
2/15/2019 14:36:41,4,It is an ok class because the teacher makes it fun to learn.                                       ,,,,,
2/15/2019 14:37:11,4,I give the class a 4 because we always have tests every time  we learn somthing,,,,,
2/15/2019 14:37:25,4,"It is because we take too many note,also we got too many test and also notebook check.But we get pizza party.Also we get to retake the test to whatever score we want it to be,and  also redo the homework.",,,,,
2/15/2019 14:37:34,4,"Mr Lieberman is a very very chill teacher, he knows whats good yet he still gets everything we need to learn done. And he has a nice Emo phase ",,,,,
2/15/2019 14:38:22,4,"This is because i do not enjoy the people in the class. But overall you are a pretty good teacher, lots of fun projects. Maybe instead of notes more worksheets, just intead of notes and only videos. Soetimes this class is really fun, but also not",,,,,
2/15/2019 14:38:30,4,"I gave this score because the class barely has homework, Mr. Liberman makes things easy and simple, and many other things I can't name. There is nothing bad about the class, but something to make it better is controlling some of the students a little more.",,,,,
2/15/2019 14:38:39,4,"it's fun and mr. liberman makes the class entertaining, but i don't like liberloot because it's really bad",,,,,
2/15/2019 14:38:42,4,I would rate it a five but we have to take notes and I don't like taking notes.,,,,,
2/15/2019 14:39:05,4,"It seems better than Z's because they have to do chapter notes and honestly just seems hard, but this class is pretty decent for social studies, even though I personally think social studies is boring and I don't really like it. Also, we actually learn stuff about writing essays, which we don't learn in booth's class. there's a lot of writing and notes tho, and tests are kinda not really hard. anyways, you're probably one of my favorite teachers.",,,,,
2/15/2019 14:39:18,4,Its not my favorite class but it still not the worst class. It's not very boring and I don't need to do homework to understand.,,,,,
2/15/2019 14:39:35,4,I like this class everything is easy to understand and it is quick. I really like Mr liberman and he is one of my favorite teachers and his class is fun. I don't like how much note taking there is. and i don't like the questions I would prefer if Mr liberman just lectured us instead of made us take notes.,,,,,
2/15/2019 14:39:36,4,"I like this class because I learn a lot. The teacher (Mr.Liberman) is very experienced and obviously knows the history. I learned more in this class than any other. I only have a small problem, that the actual learning is not very interactive. I suggest adding more interactions with the students rather taking notes on papers and videos. In all, I believe it is a very good class where I learned a lot.",,,,,
2/15/2019 15:30:23,4,This class is good. It gives other hope and it's easy to learn in. Ok this.,,,,,
2/15/2019 15:30:26,4,i gave it a 4 because it could use a little work. dont know how to make it better,,,,,
2/15/2019 15:31:02,4,I like this class because it is not boring and this class could do better if we had to do less notes,,,,,
2/15/2019 15:31:03,4,"I gave it that score because it is fun and all except for the notes so I think you should get rid of the notes
",,,,,
2/15/2019 15:31:07,4,"............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
its not my favorite class but its cool. so yeah.",,,,,
2/15/2019 15:31:14,4,I really like the way you teach but our class is very loud. Also our class talks a lot making us have homework more. I really like the way we learn in this class it is really fun because we don't take notes that much but we get to do simulations and videos which is cool.,,,,,
2/15/2019 15:31:33,4,cause i said so                                                             ,,,,,
2/15/2019 15:31:45,4,I would give the class a 4 because it is noisy and most people were talking in class.,,,,,
2/15/2019 15:31:51,4,"I gave a 4 because I think you give us to many notes to write, but other than that I like this class a lot",,,,,
2/15/2019 15:32:05,4,"Good: I really enjoy your class your class is fun with your enjoyable attitude.
Bad: I don't like some of the people in this class.",,,,,
2/15/2019 15:34:44,4,"This class helps me learn and i actually understand the things we learn. I also like how we get to eat in class. Lastly, I like this class because I have a good grade in this class. One thing i dislike about the class is some of the people. There are a lot of disruptive people who waste class time and then we end up having homework. I think that all the people who are disruptive should get homework and not the whole class",,,,,
2/15/2019 11:06:27,5,Fast pace and lots of writing and a given lots of information ----------------------------,,,,,
2/15/2019 11:08:39,5,"You should make it so that it won't cost a liberloot to get water 
We should be able to chose our seats",,,,,
2/15/2019 11:08:48,5,i really like mr libermans class becuse he explains every thing really good one thing you could inprove is not charging us for liberloot becuse some people have 1 periode pe and need water and dont have there water bottle,,,,,
2/15/2019 11:09:09,5,Its really fun and has  good items to annotate. I enjoy the liberloot and I find that the videos are fun. Also like the quizzlet because it helps me study.,,,,,
2/15/2019 11:11:12,5,"We have a lot of work, but that is part of what makes it fun. What could make the class better is more videos and fewer readings. We need more Liberstores. We could also be able to pick our seats so if we want to sit alone. Fewer essays. ",,,,,
2/15/2019 11:57:31,5,Everyone is kind and Mr.liberman is a good teacher. Mr.liberman goes a litttle too fast when he starts teaching but other than that its amazing,,,,,
2/15/2019 11:57:42,5, This class is fun but we need some field trips to have some fun. Also we should do less essays cause essays are very boring and in ela we already do that.,,,,,
2/15/2019 11:57:56,5,"It is engaging, and fun, and it is very knowledgeable. Liberman does give to many note-videos, they are often boring and ill made and it is very unsatisfying and annoying.",,,,,
2/15/2019 11:57:59,5,"I really like this class. It is fun and you get to learn a lot. I enjoy being in this class, and I think it is a good environment for us to learn. ",,,,,
2/15/2019 11:58:01,5,"I like this class because the teacher has a lot of energy and makes me excited about things. I also like the people here, very awesome. I wish we could do more projects like the mural or the amusement park. I would also like to change seats more often! ",,,,,
2/15/2019 11:58:03,5,"it is fun and it makes me learn and it is good. i need to write more i need to write morei need to write more
",,,,,
2/15/2019 11:58:03,5,The class is amazing and you are a great teacher                                   ,,,,,
2/15/2019 11:58:04,5,i gave it a 5 because Mr. Liberman is super happy and and he makes kids excited to learn and hes never in a bad mood.,,,,,
2/15/2019 11:58:06,5,It's fun and I'm learning stuff. I'm learning more in Social Studies than English. I like the actives. We should play Kahoot more.,,,,,
2/15/2019 11:58:47,5,"I gave this score because i think our class don't really interupt the class. But one thing that I am struggle is that you move too fast, for most of the ime i try to catch up.   ",,,,,
2/15/2019 11:59:02,5,"Good
-Learn a lot
-Fun
-little amounts of homework

Bad
-Not a lot of time to do Do Nows
-lots of writing/typing",,,,,
2/15/2019 11:59:31,5,I gave this class a 5 because it makes me excited to learn this subject and it's rarely boring.  Maybe we could do more group projects and less individual projects.,,,,,
2/15/2019 11:59:40,5,I love this class! Your a really fun teacher and your one of the only teachers who doesn't care when I yell out. You let us eat and have fun while we work. Not only that but you make the class EDUCATIONAL AND FUN?! those words shouldn't go together BUT they do in youuuur class. 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/5. Your my FAVORITE teacher :D,,,,,
2/15/2019 12:00:27,5,"This class very engaging and I enjoy how you try to keep it fun. I've learned a lot this year and I feel like this class is very chill. I think the simulations you do are unique to this class and they're very fun. Keep it up! (Okay, I can't really think of anything right now, sorry haha)",,,,,
2/15/2019 12:00:47,5,I give this class a 1000000000000000000000000000000000000000000000000000000000000/5. This class is really fun and social studies is my favorite subject. Also you are my favorite :D,,,,,
2/15/2019 12:02:13,5,The reasons I like this class is because we get to memorize the content. One other thing I like is that we normally get to choose some things. We can choose whether we use a notebook or computer. ,,,,,
2/15/2019 13:39:44,5,Mr Liberman is very good and the class is fun. Mr Liberman is also very fun and gives out points so kids behave. He also gives us pizza if we deserve it.,,,,,
2/15/2019 13:40:34,5,You always lets us pretty much interact when we're done.You can slow down on the writing,,,,,
2/15/2019 13:41:10,5,its fun and entertaining while also informative. everyone is nice and learning is made fun.,,,,,
2/15/2019 13:41:14,5,5 because you play with me @jomackin10. This class sucks because we are losing to 3rd period in points. Make this class better by giving us more points and playing more fortnite. We should do less note talking and more group projects!,,,,,
2/15/2019 13:42:31,5,Mr. Lieberman is super considerate of everyone and tries to help people if they have problems. I also like the pizza system.,,,,,
2/15/2019 13:43:01,5,"I really enjoy this class. Its my favorite class in 7th grade, and ties with my 1st/2nd period math class and 6th/7th period ELA class from 6th grade. Everything is fun and is fun. I would take the class again 11/10",,,,,
2/15/2019 14:36:24,5,its fun and u let us sometimes talk and we do none stupid and boring activity ,,,,,
2/15/2019 14:36:34,5,because the class doesnt give homework and the teacher is very nice and caring when it comes to grading peoples stuff,,,,,
2/15/2019 14:36:50,5,I give this score because Mr.Liberman in awesome and doesn't give homework that often,,,,,
2/15/2019 14:36:58,5,He is really cool and nice plus he doesn't give too much homework :) He also makes sure every student is doing all right,,,,,
2/15/2019 14:36:59,5,Chill teacher and very fun. He allows eating and is very interactive with the class.,,,,,
2/15/2019 14:37:24,5,its fun and u let us sometimes talk and we do none stupid and boring activity ,,,,,
2/15/2019 14:37:50,5,"It is really fun and I always am excited to come here. I am always excited to see the question of the day. I also like how we rarely have homework which is a plus. Overall, Mr. Liberman is a very good teacher teaching my favorite subject and making me excited to go to 6th period.",,,,,
2/15/2019 14:38:01,5,"THE BEST CLASS EVER, also no homework yeahhhh! It's also so fun, but one disadvantage is some much writing lol.",,,,,
2/15/2019 14:38:18,5,"It's so fun and Mr. Liberman is the BEST TEACHER EVER. I wish that if we are taking notes, we would have more time cause my hand starts to hurt a lot and yeah. ALSO HI SISTERS",,,,,
2/15/2019 14:38:43,5,The class is really fun and interesting it is easy to get organised and the way it is graded is very appropriately and also the projects that we are assigned are enjoyable and give us time to have a creative time,,,,,
2/15/2019 14:38:50,5,"I give this score because Mr.Liberman  is understanding, caring, and he makes learning enjoyable. Sometimes we get a little more work than I like, but overall it's not too bad and the subjects are pretty interesting.",,,,,
2/15/2019 14:39:02,5,"the teacher is one of the best in the school, if not the best, and I feel like I'm free to voice my opinions, and it's more fun and exciting to learn. additionally, Mr. Liberman obviously takes a long time to prepare, with the elaborate presentations and videos. also, I like the rule that you can choose to use a chromebook for a digital notebook. Additionally, if someone logs you out, you can choose to either tell Mr.Liberman OR just get them back :)",,,,,
2/15/2019 14:39:09,5,"This class doesn`t give out homework, which gives less stress. The teacher is also nice and helpful when need of help.",,,,,
2/15/2019 14:39:10,5,Because in this class i learn many thing about the east vs west disputes and about the church disputes east vs west.,,,,,
2/15/2019 15:29:28,5,"I think this class is epic and i would have dis class for ever, everything is good",,,,,
2/15/2019 15:29:59,5,the class allows you to redo work and your allowed to use the computer for work,,,,,
2/15/2019 15:30:04,5,"I gave the score, since you ask us if we need more time and or giving us the chance to redo our work and revise it. ",,,,,
2/15/2019 15:30:32,5,"this class overall is very good i like this class alot
something i dont like is that alot of people gets distracted in class





",,,,,
2/15/2019 15:30:34,5,Because Mr. Liberman's way of teaching is very good. Its like I get sucked into the lesson.,,,,,
2/15/2019 15:30:36,5,Because i learn and is a posative class.Also 1 thing you can improve would be the time we have for big projects like the mural.,,,,,
2/15/2019 15:30:54,5,"this class is good because i enjoy not being forced to be fully quiet because this is the last class of the day so were all hyper. also, i like mr libermans teaching style and i dont think that should change ",,,,,
2/15/2019 15:30:58,5,"because mr liberman is the best teacher ever because he plays fortnite



..",,,,,
2/15/2019 15:31:01,5,I LOVE THIS CLASS BUT SOME PEOPLE ARE ANNOYING AND MEAN. I AM ALSO VERY TIRED,,,,,
2/15/2019 15:31:03,5,This class is interesting and fun. We get to engage with our classmates and still get to learn. Mr. Liberman is my favorite teacher,,,,,
2/15/2019 15:31:03,5,"There is literally nothing wrong with the class, Mr. Liberman is my favorite teacher. I like that he puts up with me and Luca screeching at each other.",,,,,
2/15/2019 15:31:28,5,because you get to do basically anything without you getting mad. and you are an awesome teacher,,,,,
2/15/2019 15:31:31,5,i like the humor and the liberty of the class also we have very little homework.,,,,,
2/15/2019 15:32:32,5,He teaches well but also teaches in a fun way and tries to get everyone involved.,,,,,
2/15/2019 15:32:48,5,"Because the teacher is nice, awesome, handsome, generous, tall, not ugly, wears cool stuff.  ",,,,,
2/15/2019 15:33:31,5,,,,,,
